time,mac_address,service_uuid,rssi
11:27:11,11-22-33-44-55-66,0d7e93aa-563a-4feb-8635-ed9ed29c6c00,-45
11:27:12,A1-BB-CB-FE-5A-6B,9f8274e5-8772-4f90-b1f1-1355d98d82f6,-34
11:27:12,B1-CC-FF-FA-1A-3B,3cb5a2b2-42fc-42cb-b1c4-2098313537ed,-78
11:27:12,FF-AB-1F-FB-34-54,7cf23107-156a-4127-b618-0ffe56fdee44,-90
11:27:19,11-22-33-44-55-66,0d7e93aa-563a-4feb-8635-ed9ed29c6c00,-47
11:27:20,A1-BB-CB-FE-5A-6B,9f8274e5-8772-4f90-b1f1-1355d98d82f6,-31
11:27:20,B1-CC-FF-FA-1A-3B,3cb5a2b2-42fc-42cb-b1c4-2098313537ed,-67
11:27:46,A1-BB-CB-FE-5A-6B,9f8274e5-8772-4f90-b1f1-1355d98d82f6,-34
11:27:46,B1-CC-FF-FA-1A-3B,3cb5a2b2-42fc-42cb-b1c4-2098313537ed,-81
11:27:56,11-22-33-44-55-66,0d7e93aa-563a-4feb-8635-ed9ed29c6c00,-49